scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Ulmus pumila,216,Siberian elm,Ulmus,Ulmaceae,Rosales,125.63,37.38
Platanus acerifolia,186,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Gleditsia triacanthos,159,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Pinus nigra,149,Austrian pine,Pinus,Pinaceae,Pinales,78.51,27.1
Fraxinus,148,Ash,Fraxinus,Oleaceae,Lamiales,106.58,27.78
Malus,127,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
Ulmus,107,Elm,Ulmus,Ulmaceae,Rosales,64.26,20.33
Ulmus parvifolia,82,Chinese elm,Ulmus,Ulmaceae,Rosales,101.71,23.6
Quercus buckleyi,73,Texas red oak,Quercus,Fagaceae,Fagales,75.08,28.28
Chilopsis linearis,63,Desert willow,Chilopsis,Bignoniaceae,Lamiales,51.57,11.47
