scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Ulmus crassifolia,1570,Cedar elm,Ulmus,Ulmaceae,Rosales,80.87,24.24
Lagerstroemia indica,1195,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Quercus shumardii,1139,Shumard oak,Quercus,Fagaceae,Fagales,85.02,22.41
Quercus virginiana,1081,Live oak,Quercus,Fagaceae,Fagales,92.73,31.36
Cercis canadensis,691,Eastern redbud,Cercis,Fabaceae,Fabales,37.01,10.86
Quercus muehlenbergii,590,Chinkapin oak,Quercus,Fagaceae,Fagales,73.03,12.11
Pistacia chinensis,587,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Quercus macrocarpa,582,Bur oak,Quercus,Fagaceae,Fagales,77.73,25.52
Taxodium distichum,581,Bald cypress,Taxodium,Cupressaceae,Pinales,77.44,16.7
Quercus stellata,558,Post oak,Quercus,Fagaceae,Fagales,115.92,39.05
