scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Carya illinoinensis,916,Pecan,Carya,Juglandaceae,Fagales,105.78,44.7
Ulmus crassifolia,831,Cedar elm,Ulmus,Ulmaceae,Rosales,80.87,24.24
Quercus virginiana,790,Live oak,Quercus,Fagaceae,Fagales,92.73,31.36
Lagerstroemia indica,609,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Quercus fusiformis,590,Escarpment live oak,Quercus,Fagaceae,Fagales,108.61,68.99
Quercus shumardii,485,Shumard oak,Quercus,Fagaceae,Fagales,85.02,22.41
Ulmus americana,232,American elm,Ulmus,Ulmaceae,Rosales,106.67,48.82
Taxodium distichum,164,Bald cypress,Taxodium,Cupressaceae,Pinales,77.44,16.7
Celtis laevigata,163,Sugarberry,Celtis,Cannabaceae,Rosales,69.7,14.99
Fraxinus texensis,112,Texas ash,Fraxinus,Oleaceae,Lamiales,55.22,12.41
