scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Acer rubrum,12910,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Zelkova serrata,6766,Japanese zelkova,Zelkova,Ulmaceae,Rosales,103.34,25.53
Platanus acerifolia,6057,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Tilia cordata,5932,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Prunus,5817,Cherry,Prunus,Rosaceae,Rosales,47.56,19.38
Pyrus calleryana,4747,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Acer platanoides,3717,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Quercus phellos,3681,Willow oak,Quercus,Fagaceae,Fagales,73.64,42.91
Gleditsia triacanthos,3295,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Quercus rubra,2849,Northern red oak,Quercus,Fagaceae,Fagales,108.06,34.33
