scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Acer platanoides,13265,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Tilia cordata,9156,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Acer saccharinum,4725,Silver maple,Acer,Sapindaceae,Sapindales,154.47,52.17
Gleditsia triacanthos,4485,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Malus,2731,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
Acer rubrum,2601,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Syringa reticulata,2373,Japanese tree lilac,Syringa,Oleaceae,Lamiales,38.37,7.86
Acer campestre,2370,Hedge maple,Acer,Sapindaceae,Sapindales,54.51,17.15
Platanus acerifolia,1897,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Ulmus carpinifolia,1677,Christine buisman elm,Ulmus,Ulmaceae,Rosales,149.28,8.09
