scientific_name,count,common_name,avg_height,avg_diameter
Sabal palmetto,6632,Cabbage palm,77.85,33.48
Quercus virginiana,5727,Live oak,92.73,31.36
Pinus elliottii,3298,Slash pine,130.64,25.34
Swietenia mahagoni,2269,West indian mahogany,119.68,76.74
Taxodium distichum,1724,Bald cypress,77.44,16.7
Quercus laurifolia,903,Laurel oak,121.46,49.01
Syagrus romanzoffianum,817,Queen palm,76.76,26.94
Roystonea regia,743,Florida royal palm,76.4,78.44
Ilex cassine,622,Dahoon holly,47.38,9.08
Wodyetia bifurcata,533,Foxtail palm,52.99,23.14
