scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Pinus ponderosa,1924,Ponderosa pine,Pinus,Pinaceae,Pinales,81.78,26.85
Fraxinus pennsylvanica,1844,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Acer saccharinum,952,Silver maple,Acer,Sapindaceae,Sapindales,154.47,52.17
Picea pungens,888,Blue spruce,Picea,Pinaceae,Pinales,91.13,22.1
Ulmus pumila,841,Siberian elm,Ulmus,Ulmaceae,Rosales,125.63,37.38
Ulmus americana,686,American elm,Ulmus,Ulmaceae,Rosales,106.67,48.82
Gleditsia triacanthos,559,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Populus,526,Cottonwood,Populus,Salicaceae,Malpighiales,140.27,30.66
Acer platanoides,495,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Pinus edulis,397,Pinyon pine,Pinus,Pinaceae,Pinales,86.94,17.62
