scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Fraxinus pennsylvanica,9402,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Pyrus calleryana,9245,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Acer rubrum,8657,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Acer saccharum,7512,Sugar maple,Acer,Sapindaceae,Sapindales,93.8,26.35
Gleditsia triacanthos,7090,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Malus,6924,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
Fraxinus americana,6742,White ash,Fraxinus,Oleaceae,Lamiales,109.62,30.37
Acer freemanii,5664,Freeman maple,Acer,Sapindaceae,Sapindales,84.22,16.6
Acer platanoides,4549,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Tilia cordata,4102,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
