scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Quercus virginiana,1238,Live oak,Quercus,Fagaceae,Fagales,92.73,31.36
Ulmus crassifolia,844,Cedar elm,Ulmus,Ulmaceae,Rosales,80.87,24.24
Quercus shumardii,761,Shumard oak,Quercus,Fagaceae,Fagales,85.02,22.41
Taxodium distichum,691,Bald cypress,Taxodium,Cupressaceae,Pinales,77.44,16.7
Lagerstroemia indica,497,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Pistacia chinensis,427,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Ulmus parvifolia,290,Chinese elm,Ulmus,Ulmaceae,Rosales,101.71,23.6
Liquidambar styraciflua,287,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Magnolia grandiflora,159,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
Pyrus calleryana,152,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
