scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Fraxinus pennsylvanica,25736,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Gleditsia triacanthos,24178,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Tilia cordata,12961,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Acer saccharinum,12735,Silver maple,Acer,Sapindaceae,Sapindales,154.47,52.17
Fraxinus americana,11922,White ash,Fraxinus,Oleaceae,Lamiales,109.62,30.37
Ulmus pumila,10671,Siberian elm,Ulmus,Ulmaceae,Rosales,125.63,37.38
Acer freemanii,9780,Freeman maple,Acer,Sapindaceae,Sapindales,84.22,16.6
Malus sylvestris,9240,Flowering crabapple,Malus,Rosaceae,Rosales,40.31,14.08
Celtis occidentalis,9060,Common hackberry,Celtis,Cannabaceae,Rosales,94.87,25.37
Acer platanoides,7945,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
