scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Fraxinus pennsylvanica,1558,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Malus,1263,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
Acer saccharinum,1202,Silver maple,Acer,Sapindaceae,Sapindales,154.47,52.17
Acer saccharum,1088,Sugar maple,Acer,Sapindaceae,Sapindales,93.8,26.35
Acer platanoides,712,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Celtis occidentalis,703,Common hackberry,Celtis,Cannabaceae,Rosales,94.87,25.37
Quercus macrocarpa,657,Bur oak,Quercus,Fagaceae,Fagales,77.73,25.52
Pinus strobus,553,Eastern white pine,Pinus,Pinaceae,Pinales,112.24,29.03
Quercus rubra,539,Northern red oak,Quercus,Fagaceae,Fagales,108.06,34.33
Picea,496,Spruce,Picea,Pinaceae,Pinales,73.91,27.6
