scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Salix,1735,Willow,Salix,Salicaceae,Malpighiales,91.72,19.93
Populus,1276,Cottonwood,Populus,Salicaceae,Malpighiales,140.27,30.66
Acer rubrum,1183,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Ulmus,981,Elm,Ulmus,Ulmaceae,Rosales,64.26,20.33
Platanus acerifolia,980,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Celtis occidentalis,852,Common hackberry,Celtis,Cannabaceae,Rosales,94.87,25.37
Malus,706,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
Quercus bicolor,702,Swamp white oak,Quercus,Fagaceae,Fagales,49.94,11.22
Liriodendron tulipifera,622,Tulip tree,Liriodendron,Magnoliaceae,Magnoliales,145.5,31.96
Ginkgo biloba,602,Ginkgo,Ginkgo,Ginkgoaceae,Ginkgoales,90.34,22.01
