scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Lagerstroemia,3103,Common crapemyrtle,Lagerstroemia,Lythraceae,Myrtales,9.37,19.4
Quercus phellos,2777,Willow oak,Quercus,Fagaceae,Fagales,73.64,42.91
Acer buergerianum,1027,Trident maple,Acer,Sapindaceae,Sapindales,49.16,9.86
Acer rubrum,718,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Ulmus parvifolia,573,Chinese elm,Ulmus,Ulmaceae,Rosales,101.71,23.6
Cercis canadensis,537,Eastern redbud,Cercis,Fabaceae,Fabales,37.01,10.86
Ulmus americana,375,American elm,Ulmus,Ulmaceae,Rosales,106.67,48.82
Pistacia chinensis,363,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Quercus lyrata,326,Overcup oak,Quercus,Fagaceae,Fagales,59.27,11.85
Ginkgo biloba,261,Ginkgo,Ginkgo,Ginkgoaceae,Ginkgoales,90.34,22.01
