scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Lagerstroemia indica,2358,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Lophostemon confertus,1643,Brisbane box,Lophostemon,Myrtaceae,Myrtales,100.24,25.17
Cupaniopsis anacardioides,1438,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales,101.45,39.81
Pinus canariensis,1049,Canary island pine,Pinus,Pinaceae,Pinales,198.12,49.05
Syagrus romanzoffianum,897,Queen palm,Syagrus,Arecaceae,Arecales,76.76,26.94
Pyrus kawakamii,710,Evergreen pear,Pyrus,Rosaceae,Rosales,87.69,26.32
Magnolia grandiflora,696,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
Jacaranda acutifolia,668,Jacaranda,Jacaranda,Bignoniaceae,Lamiales,132.41,50.24
Washingtonia robusta,596,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
Platanus acerifolia,593,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
