scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Acer platanoides,20433,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Gleditsia triacanthos,5805,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Acer rubrum,4523,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Acer saccharum,3954,Sugar maple,Acer,Sapindaceae,Sapindales,93.8,26.35
Tilia cordata,3033,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Platanus occidentalis,2977,American sycamore,Platanus,Platanaceae,Proteales,130.68,49.41
Acer saccharinum,2554,Silver maple,Acer,Sapindaceae,Sapindales,154.47,52.17
Fraxinus pennsylvanica,2057,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Platanus acerifolia,1932,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Pyrus calleryana,1662,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
