scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Lagerstroemia indica,44320,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Quercus virginiana,44059,Live oak,Quercus,Fagaceae,Fagales,92.73,31.36
Celtis occidentalis,13013,Common hackberry,Celtis,Cannabaceae,Rosales,94.87,25.37
Quercus nigra,10804,Water oak,Quercus,Fagaceae,Fagales,123.87,48.45
Triadica sebifera,9561,Chinese tallow,Triadica,Euphorbiaceae,Malpighiales,90.69,29.72
Pinus taeda,8893,Loblolly pine,Pinus,Pinaceae,Pinales,85.17,24.42
Carya illinoinensis,6129,Pecan,Carya,Juglandaceae,Fagales,105.78,44.7
Washingtonia robusta,5466,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
Fraxinus velutina,4829,Modesto ash,Fraxinus,Oleaceae,Lamiales,126.08,54.6
Magnolia grandiflora,4297,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
