scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Gleditsia triacanthos,10394,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Syagrus romanzoffianum,4681,Queen palm,Syagrus,Arecaceae,Arecales,76.76,26.94
Washingtonia robusta,4037,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
Lagerstroemia indica,3896,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Eucalyptus camaldulensis,2574,Red gum,Eucalyptus,Myrtaceae,Myrtales,163.75,52.86
Archontophoenix cunninghamiana,1665,King palm,Archontophoenix,Arecaceae,Arecales,60.17,21.47
Cercis canadensis,1502,Eastern redbud,Cercis,Fabaceae,Fabales,37.01,10.86
Lophostemon confertus,1453,Brisbane box,Lophostemon,Myrtaceae,Myrtales,100.24,25.17
Cupaniopsis anacardioides,1431,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales,101.45,39.81
Pinus canariensis,1352,Canary island pine,Pinus,Pinaceae,Pinales,198.12,49.05
