scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Pinus canariensis,4578,Canary island pine,Pinus,Pinaceae,Pinales,198.12,49.05
Eucalyptus globulus,3948,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales,222.23,80.9
Eucalyptus maculata,3830,Spotted gum,Corymbia,Myrtaceae,Myrtales,152.56,44.2
Tristaniopsis,3810,Brisbane box,Tristaniopsis,Myrtaceae,Myrtales,nan,nan
Pinus brutia,3339,Afghan pine,Pinus,Pinaceae,Pinales,65.52,38.89
Pinus halepensis,2973,Aleppo pine,Pinus,Pinaceae,Pinales,125.99,46.43
Platanus racemosa,2887,California sycamore,Platanus,Platanaceae,Proteales,157.61,43.34
Eucalyptus,2503,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales,151.63,56.2
Jacaranda mimosifolia,2063,Jacaranda,Jacaranda,Bignoniaceae,Lamiales,72.01,20.96
Liquidambar styraciflua,1773,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
