scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Pinus brutia,5888,Afghan pine,Pinus,Pinaceae,Pinales,65.52,38.89
Fraxinus velutina,4480,Modesto ash,Fraxinus,Oleaceae,Lamiales,126.08,54.6
Washingtonia robusta,1844,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
Acacia stenophylla,1483,Shoestring acacia,Acacia,Fabaceae,Fabales,55.77,8.51
Vitex agnus-castus,1478,Chaste tree,Vitex,Lamiaceae,Lamiales,42.89,30.28
Prosopis chilensis,1280,Chilean mesquite,Prosopis,Fabaceae,Fabales,14.91,20.55
Fraxinus angustifolia,1135,Narrow leaf ash,Fraxinus,Oleaceae,Lamiales,112.01,35.15
Chitalpa tashkentensis,1050,Chitalpa,Chitalpa,Bignoniaceae,Lamiales,59.05,12.67
Chilopsis linearis,1020,Desert willow,Chilopsis,Bignoniaceae,Lamiales,51.57,11.47
Phoenix dactylifera,941,Date palm,Phoenix,Arecaceae,Arecales,106.21,50.97
