scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Washingtonia robusta,37971,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
Lagerstroemia indica,34729,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Magnolia grandiflora,30988,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
Liquidambar styraciflua,30061,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Ficus microcarpa,28681,Indian laurel fig,Ficus,Moraceae,Rosales,110.19,39.3
Platanus acerifolia,17477,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Cinnamomum camphora,15850,Camphor tree,Cinnamomum,Lauraceae,Laurales,102.94,44.48
Cupressus sempervirens,14078,Italian cypress,Cupressus,Cupressaceae,Pinales,88.17,20.03
Ulmus parvifolia,13920,Chinese elm,Ulmus,Ulmaceae,Rosales,101.71,23.6
Jacaranda acutifolia,13760,Jacaranda,Jacaranda,Bignoniaceae,Lamiales,132.41,50.24
