scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Acer platanoides,20918,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Fraxinus pennsylvanica,17377,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Gleditsia triacanthos,13536,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Tilia,4969,Linden,Tilia,Malvaceae,Malvales,82.6,31.31
Tilia cordata,3894,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Ulmus,3282,Elm,Ulmus,Ulmaceae,Rosales,64.26,20.33
Fraxinus americana,2977,White ash,Fraxinus,Oleaceae,Lamiales,109.62,30.37
Tilia americana,2931,American linden,Tilia,Malvaceae,Malvales,96.92,28.02
Celtis occidentalis,2667,Common hackberry,Celtis,Cannabaceae,Rosales,94.87,25.37
Malus,2608,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
