scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Platanus acerifolia,3788,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Liquidambar styraciflua,3312,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Prunus,2932,Cherry,Prunus,Rosaceae,Rosales,47.56,19.38
Pyrus calleryana,2683,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Fraxinus,2161,Ash,Fraxinus,Oleaceae,Lamiales,106.58,27.78
Lagerstroemia indica,1953,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Pyrus kawakamii,1427,Evergreen pear,Pyrus,Rosaceae,Rosales,87.69,26.32
Magnolia grandiflora,1375,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
Pistacia chinensis,1150,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Acer,971,Maple,Acer,Sapindaceae,Sapindales,79.05,23.66
