scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Lagerstroemia indica,4630,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Liquidambar styraciflua,4392,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Cinnamomum camphora,3900,Camphor tree,Cinnamomum,Lauraceae,Laurales,102.94,44.48
Platanus acerifolia,3328,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Pinus canariensis,3307,Canary island pine,Pinus,Pinaceae,Pinales,198.12,49.05
Pyrus calleryana,2793,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Syagrus romanzoffiana,2109,Queen palm,Syagrus,Arecaceae,Arecales,73.8,22.41
Washingtonia robusta,1588,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
Pistacia chinensis,1343,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Schinus molle,1224,California pepper,Schinus,Anacardiaceae,Sapindales,93.03,41.84
