scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Quercus virginiana,17126,Live oak,Quercus,Fagaceae,Fagales,92.73,31.36
Lagerstroemia indica,14988,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Quercus laurifolia,10620,Laurel oak,Quercus,Fagaceae,Fagales,121.46,49.01
Sabal palmetto,2855,Cabbage palm,Sabal,Arecaceae,Arecales,77.85,33.48
Ulmus parvifolia,2609,Chinese elm,Ulmus,Ulmaceae,Rosales,101.71,23.6
Magnolia grandiflora,1952,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
Acer rubrum,1814,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Ilex,1693,Holly,Quercus,Fagaceae,Fagales,36.75,20.48
Quercus shumardii,1404,Shumard oak,Quercus,Fagaceae,Fagales,85.02,22.41
Washingtonia robusta,1384,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
