scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Acer rubrum,13289,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Fraxinus americana,7654,White ash,Fraxinus,Oleaceae,Lamiales,109.62,30.37
Quercus palustris,3419,Pin oak,Quercus,Fagaceae,Fagales,124.3,43.98
Liquidambar styraciflua,1983,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Fraxinus pennsylvanica,1929,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Malus,1418,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
Pyrus calleryana,1357,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Acer saccharinum,1213,Silver maple,Acer,Sapindaceae,Sapindales,154.47,52.17
Gleditsia triacanthos,964,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Tilia cordata,900,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
