scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Gleditsia triacanthos,4045,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Acer platanoides,3715,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Acer rubrum,3422,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Platanus acerifolia,3238,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Pyrus calleryana,2969,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Tilia cordata,2413,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Quercus palustris,1672,Pin oak,Quercus,Fagaceae,Fagales,124.3,43.98
Malus,1311,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
Ginkgo biloba,1218,Ginkgo,Ginkgo,Ginkgoaceae,Ginkgoales,90.34,22.01
Quercus rubra,978,Northern red oak,Quercus,Fagaceae,Fagales,108.06,34.33
