scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Ulmus crassifolia,3641,Cedar elm,Ulmus,Ulmaceae,Rosales,80.87,24.24
Celtis occidentalis,3279,Common hackberry,Celtis,Cannabaceae,Rosales,94.87,25.37
Lagerstroemia indica,2779,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Quercus rubra,2598,Northern red oak,Quercus,Fagaceae,Fagales,108.06,34.33
Quercus virginiana,1906,Live oak,Quercus,Fagaceae,Fagales,92.73,31.36
Taxodium distichum,1598,Bald cypress,Taxodium,Cupressaceae,Pinales,77.44,16.7
Carya illinoinensis,1246,Pecan,Carya,Juglandaceae,Fagales,105.78,44.7
Fraxinus,1208,Ash,Fraxinus,Oleaceae,Lamiales,106.58,27.78
Pistacia chinensis,822,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Pyrus calleryana,815,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
