scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Prunus,25635,Cherry,Prunus,Rosaceae,Rosales,47.56,19.38
Acer platanoides,19209,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Acer rubrum,15475,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Pyrus,11700,Pear,Pyrus,Rosaceae,Rosales,63.73,20.81
Acer,10635,Maple,Acer,Sapindaceae,Sapindales,79.05,23.66
Fraxinus,9293,Ash,Fraxinus,Oleaceae,Lamiales,106.58,27.78
Cornus,8667,Dogwood,Cornus,Cornaceae,Cornales,27.34,13.32
Quercus,7281,Deciduous oak,Quercus,Fagaceae,Fagales,97.81,27.27
Malus,6779,Crabapple,Malus,Rosaceae,Rosales,46.72,14.82
Betula,6338,Birch,Betula,Betulaceae,Fagales,nan,32.18
