scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Acer platanoides,3054,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Pyrus calleryana,2792,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Gleditsia triacanthos,2050,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
Platanus acerifolia,1867,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Fraxinus pennsylvanica,1714,Green ash,Fraxinus,Oleaceae,Lamiales,142.0,30.74
Acer rubrum,1408,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Zelkova serrata,1193,Japanese zelkova,Zelkova,Ulmaceae,Rosales,103.34,25.53
Tilia cordata,986,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Quercus palustris,643,Pin oak,Quercus,Fagaceae,Fagales,124.3,43.98
Prunus,572,Cherry,Prunus,Rosaceae,Rosales,47.56,19.38
