scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Lagerstroemia indica,12920,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Platanus acerifolia,5707,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Eucalyptus globulus,5549,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales,222.23,80.9
Magnolia grandiflora,5016,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
Pyrus calleryana,4941,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Liquidambar styraciflua,3727,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Pinus,3703,Pine,Pinus,Pinaceae,Pinales,92.73,26.28
Brachychiton populneus,3660,Bottle tree,Brachychiton,Malvaceae,Malvales,68.55,27.9
Pistacia chinensis,3213,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Pinus canariensis,2355,Canary island pine,Pinus,Pinaceae,Pinales,198.12,49.05
