scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Platanus acerifolia,14111,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Pistacia chinensis,4580,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Pyrus calleryana,4285,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Lagerstroemia indica,4146,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Ulmus parvifolia,4047,Chinese elm,Ulmus,Ulmaceae,Rosales,101.71,23.6
Zelkova serrata,3861,Japanese zelkova,Zelkova,Ulmaceae,Rosales,103.34,25.53
Quercus lobata,3693,California white oak,Quercus,Fagaceae,Fagales,91.6,28.74
Sequoia sempervirens,2909,Coast redwood,Sequoia,Cupressaceae,Pinales,171.63,48.79
Fraxinus velutina,2842,Modesto ash,Fraxinus,Oleaceae,Lamiales,126.08,54.6
Liquidambar styraciflua,1933,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
