scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Syagrus romanzoffianum,22624,Queen palm,Syagrus,Arecaceae,Arecales,76.76,26.94
Washingtonia robusta,15129,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
Cupaniopsis anacardioides,13608,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales,101.45,39.81
Eucalyptus,13269,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales,151.63,56.2
Pinus,12677,Pine,Pinus,Pinaceae,Pinales,92.73,26.28
Liquidambar styraciflua,10323,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Jacaranda acutifolia,9831,Jacaranda,Jacaranda,Bignoniaceae,Lamiales,132.41,50.24
Lophostemon confertus,7591,Brisbane box,Lophostemon,Myrtaceae,Myrtales,100.24,25.17
Platanus racemosa,7330,California sycamore,Platanus,Platanaceae,Proteales,157.61,43.34
Podocarpus gracilior,6161,African fern pine,Afrocarpus,Podocarpaceae,Pinales,83.51,26.2
