scientific_name,count,common_name,avg_height,avg_diameter
Platanus acerifolia,11925,London planetree,124.69,45.68
Metrosideros excelsa,8681,New zealand xmas tree,86.86,30.21
Tristaniopsis laurina,8509,Swamp myrtle,51.1,12.86
Lophostemon confertus,8236,Brisbane box,100.24,25.17
Magnolia grandiflora,7793,Southern magnolia,81.82,21.8
Prunus cerasifera,7113,Leaf plum purple,59.84,17.7
Pittosporum undulatum,6922,Victorian box,94.2,25.4
Prunus serrulata,6756,Kwanzan flowering cherry,44.07,15.37
Ficus microcarpa,6650,Indian laurel fig,110.19,39.3
Arbutus,5568,Hybrid strawberry tree,42.2,13.95
