scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Platanus acerifolia,26291,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Pistacia chinensis,24316,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Lagerstroemia indica,21636,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Liquidambar styraciflua,14644,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Pyrus calleryana,9631,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Zelkova serrata,7669,Japanese zelkova,Zelkova,Ulmaceae,Rosales,103.34,25.53
Cupressus sempervirens,7208,Italian cypress,Cupressus,Cupressaceae,Pinales,88.17,20.03
Magnolia grandiflora,7080,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
Prunus cerasifera,6999,Leaf plum purple,Prunus,Rosaceae,Rosales,59.84,17.7
Fraxinus angustifolia,5626,Narrow leaf ash,Fraxinus,Oleaceae,Lamiales,112.01,35.15
