scientific_name,count,common_name,avg_height,avg_diameter
Acer rubrum,8575,Red maple,86.51,24.76
Fraxinus pennsylvanica,7761,Green ash,142.0,30.74
Pyrus calleryana,7210,Callery pear,85.81,22.81
Quercus palustris,6503,Pin oak,124.3,43.98
Fraxinus americana,4557,White ash,109.62,30.37
Acer saccharum,4172,Sugar maple,93.8,26.35
Tilia cordata,3682,Littleleaf linden,107.87,27.93
Acer saccharinum,3115,Silver maple,154.47,52.17
Gleditsia triacanthos,3013,Honeylocust,90.95,28.15
Cercis canadensis,2886,Eastern redbud,37.01,10.86
