scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Pistacia chinensis,11392,Chinese pistache,Pistacia,Anacardiaceae,Sapindales,77.33,21.72
Platanus acerifolia,7552,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Lagerstroemia indica,7354,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Celtis sinensis,7179,Chinese hackberry,Celtis,Cannabaceae,Rosales,86.05,24.19
Pyrus calleryana,5296,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Fraxinus velutina,4879,Modesto ash,Fraxinus,Oleaceae,Lamiales,126.08,54.6
Liquidambar styraciflua,4110,American sweetgum,Liquidambar,Altingiaceae,Saxifragales,122.53,32.33
Magnolia grandiflora,3762,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales,81.82,21.8
Zelkova serrata,3379,Japanese zelkova,Zelkova,Ulmaceae,Rosales,103.34,25.53
Sequoia sempervirens,2936,Coast redwood,Sequoia,Cupressaceae,Pinales,171.63,48.79
