scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Quercus virginiana,5682,Live oak,Quercus,Fagaceae,Fagales,92.73,31.36
Quercus geminata,3839,Sand live oak,Quercus,Fagaceae,Fagales,122.68,56.73
Lagerstroemia indica,2907,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales,53.13,12.27
Sabal palmetto,1406,Cabbage palm,Sabal,Arecaceae,Arecales,77.85,33.48
Pinus elliottii,1299,Slash pine,Pinus,Pinaceae,Pinales,130.64,25.34
Quercus laurifolia,1280,Laurel oak,Quercus,Fagaceae,Fagales,121.46,49.01
Washingtonia robusta,1059,Mexican fan palm,Washingtonia,Arecaceae,Arecales,160.1,44.35
Prunus caroliniana,857,Carolina laurel cherry,Prunus,Rosaceae,Rosales,57.27,11.79
Callistemon viminalis,556,Weeping bottle brush,Callistemon,Myrtaceae,Myrtales,45.07,18.91
Taxodium distichum,498,Bald cypress,Taxodium,Cupressaceae,Pinales,77.44,16.7
