scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Acer rubrum,12730,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Quercus phellos,10007,Willow oak,Quercus,Fagaceae,Fagales,73.64,42.91
Ulmus americana,9086,American elm,Ulmus,Ulmaceae,Rosales,106.67,48.82
Quercus palustris,8922,Pin oak,Quercus,Fagaceae,Fagales,124.3,43.98
Pinus,7024,Pine,Pinus,Pinaceae,Pinales,92.73,26.28
Zelkova serrata,6366,Japanese zelkova,Zelkova,Ulmaceae,Rosales,103.34,25.53
Quercus rubra,5866,Northern red oak,Quercus,Fagaceae,Fagales,108.06,34.33
Platanus acerifolia,5767,London planetree,Platanus,Platanaceae,Proteales,124.69,45.68
Acer saccharum,5427,Sugar maple,Acer,Sapindaceae,Sapindales,93.8,26.35
Prunus,4889,Cherry,Prunus,Rosaceae,Rosales,47.56,19.38
