scientific_name,count,common_name,tree_genus,tree_family,tree_order,avg_height,avg_diameter
Acer platanoides,9364,Norway maple,Acer,Sapindaceae,Sapindales,100.7,33.48
Acer saccharum,1346,Sugar maple,Acer,Sapindaceae,Sapindales,93.8,26.35
Acer rubrum,1029,Red maple,Acer,Sapindaceae,Sapindales,86.51,24.76
Acer saccharinum,342,Silver maple,Acer,Sapindaceae,Sapindales,154.47,52.17
Tilia cordata,335,Littleleaf linden,Tilia,Malvaceae,Malvales,107.87,27.93
Quercus rubra,327,Northern red oak,Quercus,Fagaceae,Fagales,108.06,34.33
Pyrus calleryana,270,Callery pear,Pyrus,Rosaceae,Rosales,85.81,22.81
Quercus palustris,265,Pin oak,Quercus,Fagaceae,Fagales,124.3,43.98
Fraxinus americana,225,White ash,Fraxinus,Oleaceae,Lamiales,109.62,30.37
Gleditsia triacanthos,182,Honeylocust,Gleditsia,Fabaceae,Fabales,90.95,28.15
