city,species,count,common_name,tree_genus,tree_family,tree_order
Los Angeles,Abies,0,Fir,Abies,Pinaceae,Pinales
Los Angeles,Cedrus deodara,3468,Deodar cedar,Cedrus,Pinaceae,Pinales
Los Angeles,Cinnamomum camphora,15850,Camphor tree,Cinnamomum,Lauraceae,Laurales
Los Angeles,Cupaniopsis anacardioides,11715,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales
Los Angeles,Eucalyptus globulus,3213,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales
Los Angeles,Eucalyptus maculata,67,Spotted gum,Corymbia,Myrtaceae,Myrtales
Los Angeles,Gleditsia triacanthos,8778,Honeylocust,Gleditsia,Fabaceae,Fabales
Los Angeles,Lagerstroemia indica,34729,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales
Los Angeles,Liquidambar styraciflua,30061,American sweetgum,Liquidambar,Altingiaceae,Saxifragales
Los Angeles,Lophostemon confertus,0,Brisbane box,Lophostemon,Myrtaceae,Myrtales
Los Angeles,Magnolia grandiflora,30988,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales
Los Angeles,Metrosideros excelsa,561,New zealand xmas tree,Metrosideros,Myrtaceae,Myrtales
Los Angeles,Pinus canariensis,11609,Canary island pine,Pinus,Pinaceae,Pinales
Los Angeles,Pistacia chinensis,1012,Chinese pistache,Pistacia,Anacardiaceae,Sapindales
Los Angeles,Platanus acerifolia,17477,London planetree,Platanus,Platanaceae,Proteales
Los Angeles,Prunus,132,Cherry,Prunus,Rosaceae,Rosales
Los Angeles,Pyrus calleryana,7500,Callery pear,Pyrus,Rosaceae,Rosales
Los Angeles,Quercus,3612,Deciduous oak,Quercus,Fagaceae,Fagales
Los Angeles,Quercus lobata,210,California white oak,Quercus,Fagaceae,Fagales
Los Angeles,Sequoia sempervirens,848,Coast redwood,Sequoia,Cupressaceae,Pinales
Los Angeles,Syagrus romanzoffianum,0,Queen palm,Syagrus,Arecaceae,Arecales
Los Angeles,Tristaniopsis laurina,0,Swamp myrtle,Tristaniopsis,Myrtaceae,Myrtales
Los Angeles,Washingtonia robusta,37971,Mexican fan palm,Washingtonia,Arecaceae,Arecales
San Jose,Abies,0,Fir,Abies,Pinaceae,Pinales
San Jose,Cedrus deodara,601,Deodar cedar,Cedrus,Pinaceae,Pinales
San Jose,Cinnamomum camphora,4835,Camphor tree,Cinnamomum,Lauraceae,Laurales
San Jose,Cupaniopsis anacardioides,185,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales
San Jose,Eucalyptus globulus,183,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales
San Jose,Eucalyptus maculata,0,Spotted gum,Corymbia,Myrtaceae,Myrtales
San Jose,Gleditsia triacanthos,4037,Honeylocust,Gleditsia,Fabaceae,Fabales
San Jose,Lagerstroemia indica,21636,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales
San Jose,Liquidambar styraciflua,14644,American sweetgum,Liquidambar,Altingiaceae,Saxifragales
San Jose,Lophostemon confertus,289,Brisbane box,Lophostemon,Myrtaceae,Myrtales
San Jose,Magnolia grandiflora,7080,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales
San Jose,Metrosideros excelsa,1,New zealand xmas tree,Metrosideros,Myrtaceae,Myrtales
San Jose,Pinus canariensis,1582,Canary island pine,Pinus,Pinaceae,Pinales
San Jose,Pistacia chinensis,24316,Chinese pistache,Pistacia,Anacardiaceae,Sapindales
San Jose,Platanus acerifolia,26291,London planetree,Platanus,Platanaceae,Proteales
San Jose,Prunus,776,Cherry,Prunus,Rosaceae,Rosales
San Jose,Pyrus calleryana,9631,Callery pear,Pyrus,Rosaceae,Rosales
San Jose,Quercus,183,Deciduous oak,Quercus,Fagaceae,Fagales
San Jose,Quercus lobata,1571,California white oak,Quercus,Fagaceae,Fagales
San Jose,Sequoia sempervirens,2558,Coast redwood,Sequoia,Cupressaceae,Pinales
San Jose,Syagrus romanzoffianum,3788,Queen palm,Syagrus,Arecaceae,Arecales
San Jose,Tristaniopsis laurina,1479,Swamp myrtle,Tristaniopsis,Myrtaceae,Myrtales
San Jose,Washingtonia robusta,5116,Mexican fan palm,Washingtonia,Arecaceae,Arecales
San Diego,Abies,20,Fir,Abies,Pinaceae,Pinales
San Diego,Cedrus deodara,71,Deodar cedar,Cedrus,Pinaceae,Pinales
San Diego,Cinnamomum camphora,2267,Camphor tree,Cinnamomum,Lauraceae,Laurales
San Diego,Cupaniopsis anacardioides,13608,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales
San Diego,Eucalyptus globulus,64,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales
San Diego,Eucalyptus maculata,0,Spotted gum,Corymbia,Myrtaceae,Myrtales
San Diego,Gleditsia triacanthos,0,Honeylocust,Gleditsia,Fabaceae,Fabales
San Diego,Lagerstroemia indica,2207,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales
San Diego,Liquidambar styraciflua,10323,American sweetgum,Liquidambar,Altingiaceae,Saxifragales
San Diego,Lophostemon confertus,7591,Brisbane box,Lophostemon,Myrtaceae,Myrtales
San Diego,Magnolia grandiflora,3463,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales
San Diego,Metrosideros excelsa,880,New zealand xmas tree,Metrosideros,Myrtaceae,Myrtales
San Diego,Pinus canariensis,469,Canary island pine,Pinus,Pinaceae,Pinales
San Diego,Pistacia chinensis,115,Chinese pistache,Pistacia,Anacardiaceae,Sapindales
San Diego,Platanus acerifolia,1907,London planetree,Platanus,Platanaceae,Proteales
San Diego,Prunus,0,Cherry,Prunus,Rosaceae,Rosales
San Diego,Pyrus calleryana,1986,Callery pear,Pyrus,Rosaceae,Rosales
San Diego,Quercus,0,Deciduous oak,Quercus,Fagaceae,Fagales
San Diego,Quercus lobata,0,California white oak,Quercus,Fagaceae,Fagales
San Diego,Sequoia sempervirens,27,Coast redwood,Sequoia,Cupressaceae,Pinales
San Diego,Syagrus romanzoffianum,22624,Queen palm,Syagrus,Arecaceae,Arecales
San Diego,Tristaniopsis laurina,0,Swamp myrtle,Tristaniopsis,Myrtaceae,Myrtales
San Diego,Washingtonia robusta,15129,Mexican fan palm,Washingtonia,Arecaceae,Arecales
Rancho Cucamonga,Abies,0,Fir,Abies,Pinaceae,Pinales
Rancho Cucamonga,Cedrus deodara,48,Deodar cedar,Cedrus,Pinaceae,Pinales
Rancho Cucamonga,Cinnamomum camphora,1173,Camphor tree,Cinnamomum,Lauraceae,Laurales
Rancho Cucamonga,Cupaniopsis anacardioides,1064,Carrotwood,Cupaniopsis,Sapindaceae,Sapindales
Rancho Cucamonga,Eucalyptus globulus,5549,Eucalyptus,Eucalyptus,Myrtaceae,Myrtales
Rancho Cucamonga,Eucalyptus maculata,0,Spotted gum,Corymbia,Myrtaceae,Myrtales
Rancho Cucamonga,Gleditsia triacanthos,63,Honeylocust,Gleditsia,Fabaceae,Fabales
Rancho Cucamonga,Lagerstroemia indica,12920,Crape myrtle,Lagerstroemia,Lythraceae,Myrtales
Rancho Cucamonga,Liquidambar styraciflua,3727,American sweetgum,Liquidambar,Altingiaceae,Saxifragales
Rancho Cucamonga,Lophostemon confertus,0,Brisbane box,Lophostemon,Myrtaceae,Myrtales
Rancho Cucamonga,Magnolia grandiflora,5016,Southern magnolia,Magnolia,Magnoliaceae,Magnoliales
Rancho Cucamonga,Metrosideros excelsa,1,New zealand xmas tree,Metrosideros,Myrtaceae,Myrtales
Rancho Cucamonga,Pinus canariensis,2355,Canary island pine,Pinus,Pinaceae,Pinales
Rancho Cucamonga,Pistacia chinensis,3213,Chinese pistache,Pistacia,Anacardiaceae,Sapindales
Rancho Cucamonga,Platanus acerifolia,5707,London planetree,Platanus,Platanaceae,Proteales
Rancho Cucamonga,Prunus,8,Cherry,Prunus,Rosaceae,Rosales
Rancho Cucamonga,Pyrus calleryana,4941,Callery pear,Pyrus,Rosaceae,Rosales
Rancho Cucamonga,Quercus,135,Deciduous oak,Quercus,Fagaceae,Fagales
Rancho Cucamonga,Quercus lobata,41,California white oak,Quercus,Fagaceae,Fagales
Rancho Cucamonga,Sequoia sempervirens,24,Coast redwood,Sequoia,Cupressaceae,Pinales
Rancho Cucamonga,Syagrus romanzoffianum,4,Queen palm,Syagrus,Arecaceae,Arecales
Rancho Cucamonga,Tristaniopsis laurina,0,Swamp myrtle,Tristaniopsis,Myrtaceae,Myrtales
Rancho Cucamonga,Washingtonia robusta,2262,Mexican fan palm,Washingtonia,Arecaceae,Arecales
Stockton,Abies,0,Fir,Abies,Pinaceae,Pinales
Stockton,Cedrus deodara,445,Deodar cedar,Cedrus,Pinaceae,Pinales
Stockton,Cinnamomum camphora,1670,Camphor tree,Cinnamomum,Lauraceae,Laurales
