source,target,value
California,Los Angeles,581946
California,San Jose,264805
California,San Diego,212220
California,San Francisco,175106
California,Stockton,97707
California,Sacramento,84260
California,Rancho Cucamonga,80603
California,Anaheim,77019
California,Ontario,58577
California,Irvine,57769
California,HuntingtonBeach,55598
California,Oakland,35568
California,Garden Grove,17521
California,Fresno,6173
California,Santa Rosa,1213
Los Angeles,Sapindaceae,16735
Los Angeles,Rosaceae,31429
Los Angeles,Fagaceae,14969
Los Angeles,Fabaceae,31110
Los Angeles,Oleaceae,29090
Los Angeles,Ulmaceae,21503
Los Angeles,Platanaceae,22149
Los Angeles,Pinaceae,27383
Los Angeles,Lythraceae,36013
Los Angeles,Arecaceae,66126
Los Angeles,Malvaceae,6700
Los Angeles,Myrtaceae,41281
Los Angeles,Cupressaceae,21155
Los Angeles,Magnoliaceae,34288
Los Angeles,Altingiaceae,30302
San Jose,Sapindaceae,10661
San Jose,Rosaceae,27924
San Jose,Fagaceae,18333
San Jose,Fabaceae,9749
San Jose,Oleaceae,17651
San Jose,Ulmaceae,11567
San Jose,Platanaceae,27218
San Jose,Pinaceae,4436
San Jose,Lythraceae,21770
San Jose,Arecaceae,12002
San Jose,Malvaceae,695
San Jose,Myrtaceae,6094
San Jose,Cupressaceae,11401
San Jose,Magnoliaceae,7957
San Jose,Altingiaceae,14677
San Diego,Sapindaceae,17411
San Diego,Rosaceae,7929
San Diego,Fagaceae,1392
San Diego,Fabaceae,7811
San Diego,Oleaceae,4334
San Diego,Ulmaceae,1797
San Diego,Platanaceae,9237
San Diego,Pinaceae,14021
San Diego,Lythraceae,2207
San Diego,Arecaceae,46263
San Diego,Malvaceae,1446
San Diego,Myrtaceae,30258
San Diego,Cupressaceae,8667
San Diego,Magnoliaceae,3523
San Diego,Altingiaceae,10323
San Francisco,Sapindaceae,3607
San Francisco,Rosaceae,27292
San Francisco,Fagaceae,1244
San Francisco,Fabaceae,7116
San Francisco,Oleaceae,7830
San Francisco,Ulmaceae,3507
San Francisco,Platanaceae,12002
San Francisco,Pinaceae,3569
San Francisco,Lythraceae,111
San Francisco,Arecaceae,3755
San Francisco,Malvaceae,1243
San Francisco,Myrtaceae,43104
San Francisco,Cupressaceae,4134
San Francisco,Magnoliaceae,8591
San Francisco,Altingiaceae,1684
Stockton,Sapindaceae,3084
Stockton,Rosaceae,9497
Stockton,Fagaceae,6185
Stockton,Fabaceae,1366
Stockton,Oleaceae,11568
Stockton,Ulmaceae,4191
Stockton,Platanaceae,7639
Stockton,Pinaceae,1851
Stockton,Lythraceae,7380
Stockton,Arecaceae,2115
Stockton,Malvaceae,983
Stockton,Myrtaceae,512
Stockton,Cupressaceae,4621
Stockton,Magnoliaceae,4799
Stockton,Altingiaceae,4371
Sacramento,Sapindaceae,4316
Sacramento,Rosaceae,7638
Sacramento,Fagaceae,10571
Sacramento,Fabaceae,1452
Sacramento,Oleaceae,4346
Sacramento,Ulmaceae,7908
Sacramento,Platanaceae,14111
Sacramento,Pinaceae,2520
Sacramento,Lythraceae,4159
Sacramento,Arecaceae,3488
Sacramento,Malvaceae,1021
Sacramento,Myrtaceae,629
Sacramento,Cupressaceae,4636
Sacramento,Magnoliaceae,2052
Sacramento,Altingiaceae,1949
Rancho Cucamonga,Sapindaceae,2908
