source,target,value
33 USA states,North,2462814
33 USA states,South,2717758
North,New York,787349
North,Colorado,354878
North,Oregon,216751
North,Minnesota,176834
North,Washington,164903
North,Ohio,140876
South,California,1806085
South,Texas,264285
South,District of Columbia,175847
South,Florida,124208
South,Maryland,121279
South,Louisiana,105786
New York,New York City,652169
New York City,Sapindaceae,93745
New York City,Rosaceae,109131
New York City,Fagaceae,83576
New York City,Fabaceae,95609
New York City,Oleaceae,25245
New York City,Ulmaceae,44173
New York City,Platanaceae,87014
New York City,Pinaceae,1763
New York City,Lythraceae,442
New York City,Malvaceae,51267
New York City,Cupressaceae,6354
New York City,Magnoliaceae,2076
New York City,Altingiaceae,10657
New York City,Anacardiaceae,58
New York City,Cannabaceae,2382
New York City,Moraceae,1186
New York City,Betulaceae,6887
New York City,Bignoniaceae,551
New York,Buffalo,76784
Buffalo,Sapindaceae,27440
Buffalo,Rosaceae,8287
Buffalo,Fagaceae,3867
Buffalo,Fabaceae,6797
Buffalo,Oleaceae,3863
Buffalo,Ulmaceae,4735
Buffalo,Platanaceae,2017
Buffalo,Pinaceae,2063
Buffalo,Malvaceae,11168
Buffalo,Cupressaceae,225
Buffalo,Magnoliaceae,245
Buffalo,Altingiaceae,219
Buffalo,Anacardiaceae,43
Buffalo,Cannabaceae,830
Buffalo,Moraceae,108
Buffalo,Betulaceae,1393
Buffalo,Bignoniaceae,264
Colorado,Denver,284351
Denver,Sapindaceae,44267
Denver,Rosaceae,31413
Denver,Fagaceae,22646
Denver,Fabaceae,30968
Denver,Oleaceae,39818
Denver,Ulmaceae,19667
Denver,Platanaceae,2049
Denver,Pinaceae,31069
Denver,Malvaceae,18912
Denver,Myrtaceae,62
Denver,Cupressaceae,6598
Denver,Magnoliaceae,357
Denver,Altingiaceae,84
Denver,Anacardiaceae,427
Denver,Cannabaceae,9477
Denver,Moraceae,443
Denver,Betulaceae,1279
Denver,Bignoniaceae,3579
Colorado,Aurora,55619
Aurora,Sapindaceae,9788
Aurora,Rosaceae,4146
Aurora,Fagaceae,2469
Aurora,Fabaceae,10802
Aurora,Oleaceae,6440
Aurora,Ulmaceae,2408
Aurora,Platanaceae,9
Aurora,Pinaceae,4724
Aurora,Malvaceae,8098
Aurora,Cupressaceae,332
Aurora,Magnoliaceae,23
Aurora,Anacardiaceae,13
Aurora,Cannabaceae,2493
Aurora,Moraceae,15
Aurora,Betulaceae,10
Aurora,Bignoniaceae,286
Oregon,Portland,216751
Portland,Sapindaceae,59875
Portland,Rosaceae,53119
Portland,Fagaceae,9151
Portland,Fabaceae,5354
Portland,Oleaceae,10712
Portland,Ulmaceae,5267
Portland,Platanaceae,1300
Portland,Pinaceae,9147
Portland,Lythraceae,852
Portland,Arecaceae,325
Portland,Malvaceae,5613
Portland,Myrtaceae,96
Portland,Cupressaceae,4478
Portland,Magnoliaceae,4192
Portland,Altingiaceae,3703
Portland,Anacardiaceae,823
Portland,Cannabaceae,334
Portland,Moraceae,681
Portland,Betulaceae,11103
Portland,Bignoniaceae,451
Minnesota,Minneapolis,176834
Minneapolis,Sapindaceae,47900
Minneapolis,Rosaceae,3968
Minneapolis,Fagaceae,8508
Minneapolis,Fabaceae,13349
Minneapolis,Oleaceae,31638
Minneapolis,Ulmaceae,20977
Minneapolis,Platanaceae,13
Minneapolis,Pinaceae,3490
Minneapolis,Malvaceae,26830
Minneapolis,Cupressaceae,539
Minneapolis,Magnoliaceae,12
Minneapolis,Anacardiaceae,23
Minneapolis,Cannabaceae,12736
Minneapolis,Moraceae,207
Minneapolis,Betulaceae,1883
Minneapolis,Bignoniaceae,245
Washington,Seattle,164903
Seattle,Sapindaceae,37081
Seattle,Rosaceae,54845
Seattle,Fagaceae,7779
Seattle,Fabaceae,4529
Seattle,Oleaceae,5172
Seattle,Ulmaceae,4153
Seattle,Platanaceae,1893
Seattle,Pinaceae,4929
Seattle,Lythraceae,596
Seattle,Arecaceae,245
Seattle,Malvaceae,4373
Seattle,Myrtaceae,74
Seattle,Cupressaceae,4813
Seattle,Magnoliaceae,3747
Seattle,Altingiaceae,3390
Seattle,Anacardiaceae,395
Seattle,Cannabaceae,141
Seattle,Moraceae,281
Seattle,Betulaceae,8624
Seattle,Bignoniaceae,390
Ohio,Columbus,140876
Columbus,Sapindaceae,36773
Columbus,Rosaceae,23939
Columbus,Fagaceae,11693
Columbus,Fabaceae,9773
Columbus,Oleaceae,20738
Columbus,Ulmaceae,5514
Columbus,Platanaceae,4388
Columbus,Pinaceae,4524
Columbus,Malvaceae,6922
Columbus,Cupressaceae,1180
Columbus,Magnoliaceae,1235
Columbus,Altingiaceae,1679
Columbus,Anacardiaceae,40
Columbus,Cannabaceae,2048
Columbus,Moraceae,987
Columbus,Betulaceae,2811
Columbus,Bignoniaceae,533
California,Los Angeles,581946
Los Angeles,Sapindaceae,16735
Los Angeles,Rosaceae,31429
Los Angeles,Fagaceae,14969
Los Angeles,Fabaceae,31110
Los Angeles,Oleaceae,29090
Los Angeles,Ulmaceae,21503
Los Angeles,Platanaceae,22149
Los Angeles,Pinaceae,27383
Los Angeles,Lythraceae,36013
Los Angeles,Arecaceae,66126
Los Angeles,Malvaceae,6700
Los Angeles,Myrtaceae,41281
Los Angeles,Cupressaceae,21155
Los Angeles,Magnoliaceae,34288
Los Angeles,Altingiaceae,30302
Los Angeles,Anacardiaceae,12100
Los Angeles,Cannabaceae,337
Los Angeles,Moraceae,43627
Los Angeles,Betulaceae,5172
Los Angeles,Bignoniaceae,24590
