source,target,value
North,New York,793051
North,Minnesota,176834
North,Ohio,151350
West,California,1811594
West,Colorado,357765
West,Oregon,216751
South,Texas,268642
South,Florida,128032
South,Maryland,121290
New York,NewYork,652169
NewYork,Acer,88739
NewYork,Quercus,82867
NewYork,Fraxinus,19981
NewYork,Platanus,87014
NewYork,Gleditsia,64264
NewYork,Lagerstroemia,442
NewYork,Prunus,41653
NewYork,Pyrus,58931
NewYork,Tilia,51267
NewYork,Ulmus,14915
NewYork,Pinus,702
NewYork,Liquidambar,10657
NewYork,Magnolia,1000
NewYork,Washingtonia,0
NewYork,Celtis,2382
NewYork,Malus,3527
NewYork,Zelkova,29258
NewYork,Eucalyptus,0
NewYork,Ginkgo,21024
NewYork,Ficus,0
New York,Buffalo,76953
Buffalo,Acer,25596
Buffalo,Quercus,3763
Buffalo,Fraxinus,1468
Buffalo,Platanus,2017
Buffalo,Gleditsia,4485
Buffalo,Lagerstroemia,0
Buffalo,Prunus,2164
Buffalo,Pyrus,1509
Buffalo,Tilia,11110
Buffalo,Ulmus,4013
Buffalo,Pinus,1040
Buffalo,Liquidambar,219
Buffalo,Magnolia,80
Buffalo,Washingtonia,0
Buffalo,Celtis,830
Buffalo,Malus,2806
Buffalo,Zelkova,722
Buffalo,Eucalyptus,0
Buffalo,Ginkgo,680
Buffalo,Ficus,0
Minnesota,Minneapolis,176834
Minneapolis,Acer,47055
Minneapolis,Quercus,8501
Minneapolis,Fraxinus,29432
Minneapolis,Platanus,13
Minneapolis,Gleditsia,12676
Minneapolis,Lagerstroemia,0
Minneapolis,Prunus,204
Minneapolis,Pyrus,315
Minneapolis,Tilia,26830
Minneapolis,Ulmus,20977
Minneapolis,Pinus,1175
Minneapolis,Liquidambar,0
Minneapolis,Magnolia,12
Minneapolis,Washingtonia,0
Minneapolis,Celtis,12736
Minneapolis,Malus,3215
Minneapolis,Zelkova,0
Minneapolis,Eucalyptus,0
Minneapolis,Ginkgo,3592
Minneapolis,Ficus,0
Ohio,Columbus,151350
Columbus,Acer,35911
Columbus,Quercus,11459
Columbus,Fraxinus,17476
Columbus,Platanus,4388
Columbus,Gleditsia,7090
Columbus,Lagerstroemia,0
Columbus,Prunus,4772
Columbus,Pyrus,9401
Columbus,Tilia,6754
Columbus,Ulmus,4552
Columbus,Pinus,2201
Columbus,Liquidambar,1679
Columbus,Magnolia,841
Columbus,Washingtonia,0
Columbus,Celtis,2048
Columbus,Malus,7028
Columbus,Zelkova,962
Columbus,Eucalyptus,0
