source,target,value
California,Los Angeles,581946
California,San Jose,264805
California,San Diego,212220
California,San Francisco,175106
California,Stockton,97707
California,Other cities,474301
New York,New York City,652169
New York,Other cities,135180
Colorado,Denver,284351
Colorado,Other cities,70527
Texas,Houston,211786
Texas,Other cities,52499
Oregon,Portland,216751
Minnesota,Minneapolis,176834
District of Columbia,Washington DC,175847
Washington,Seattle,164903
Ohio,Columbus,140876
Wisconsin,Other cities,127623
Other states,Other cities,124208
Other states,Baltimore,121279
Other states,New Orleans,105786
Other states,Other cities,97227
Other states,Other cities,92023
Other states,Other cities,83533
Other states,Other cities,61304
Other states,Other cities,44767
Other states,Other cities,42079
Other states,Other cities,41175
Other states,Other cities,32711
Other states,Other cities,32006
Other states,Other cities,24082
Other states,Other cities,22586
Other states,Other cities,16735
Other states,Other cities,15805
Other states,Other cities,15150
Other states,Other cities,10411
Other states,Other cities,8871
Other states,Other cities,2485
Other states,Other cities,1815
Other states,Other cities,774
Other states,Other cities,214
New York City,Sapindaceae,93745
New York City,Rosaceae,109131
New York City,Fagaceae,83576
New York City,Fabaceae,95609
New York City,Oleaceae,25245
New York City,Ulmaceae,44173
New York City,Platanaceae,87014
New York City,Pinaceae,1763
New York City,Lythraceae,442
New York City,Malvaceae,51267
New York City,Cupressaceae,6354
New York City,Magnoliaceae,2076
New York City,Altingiaceae,10657
New York City,Other species,41117
Los Angeles,Sapindaceae,16735
Los Angeles,Rosaceae,31429
Los Angeles,Fagaceae,14969
Los Angeles,Fabaceae,31110
Los Angeles,Oleaceae,29090
Los Angeles,Ulmaceae,21503
Los Angeles,Platanaceae,22149
Los Angeles,Pinaceae,27383
Los Angeles,Lythraceae,36013
Los Angeles,Arecaceae,66126
Los Angeles,Malvaceae,6700
Los Angeles,Myrtaceae,41281
Los Angeles,Cupressaceae,21155
Los Angeles,Magnoliaceae,34288
Los Angeles,Altingiaceae,30302
Los Angeles,Other species,151713
Denver,Sapindaceae,44267
Denver,Rosaceae,31413
Denver,Fagaceae,22646
Denver,Fabaceae,30968
Denver,Oleaceae,39818
Denver,Ulmaceae,19667
Denver,Platanaceae,2049
Denver,Pinaceae,31069
Denver,Malvaceae,18912
Denver,Myrtaceae,62
Denver,Cupressaceae,6598
Denver,Magnoliaceae,357
Denver,Altingiaceae,84
Denver,Other species,36441
San Jose,Sapindaceae,10661
San Jose,Rosaceae,27924
San Jose,Fagaceae,18333
San Jose,Fabaceae,9749
San Jose,Oleaceae,17651
San Jose,Ulmaceae,11567
San Jose,Platanaceae,27218
San Jose,Pinaceae,4436
San Jose,Lythraceae,21770
San Jose,Arecaceae,12002
San Jose,Malvaceae,695
San Jose,Myrtaceae,6094
San Jose,Cupressaceae,11401
San Jose,Magnoliaceae,7957
San Jose,Altingiaceae,14677
San Jose,Other species,62670
Portland,Sapindaceae,59875
Portland,Rosaceae,53119
Portland,Fagaceae,9151
Portland,Fabaceae,5354
Portland,Oleaceae,10712
Portland,Ulmaceae,5267
Portland,Platanaceae,1300
Portland,Pinaceae,9147
Portland,Lythraceae,852
Portland,Arecaceae,325
Portland,Malvaceae,5613
Portland,Myrtaceae,96
Portland,Cupressaceae,4478
Portland,Magnoliaceae,4192
Portland,Altingiaceae,3703
Portland,Other species,43567
San Diego,Sapindaceae,17411
