source,target,value
Arizona,Albuquerque,0
Arizona,Atlanta,0
Arizona,AuroraCO,0
Arizona,Baltimore,0
Arizona,Boston,0
Arizona,Buffalo,0
Arizona,CapeCoral,0
Arizona,Columbus,0
Arizona,Denver,0
Arizona,DesMoines,0
Arizona,Detroit,0
Arizona,Durham,0
Arizona,GrandRapids,0
Arizona,Greensboro,0
Arizona,Honolulu,0
Arizona,Houston,0
Arizona,Indianapolis,0
Arizona,Jerseycity,0
Arizona,Knoxville,0
Arizona,LasVegas,0
Arizona,LosAngeles,0
Arizona,Louisville,0
Arizona,Madison,0
Arizona,Milwaukee,0
Arizona,Minneapolis,0
Arizona,Nashville,0
Arizona,NewOrleans,0
Arizona,NewYork,0
Arizona,OklahomaCity,0
Arizona,Orlando,0
Arizona,OverlandPark,0
Arizona,Phoenix,214
Arizona,Pittsburgh,0
Arizona,Plano,0
Arizona,Portland,0
Arizona,Providence,0
Arizona,Richmond,0
Arizona,SanJose,0
Arizona,Seattle,0
Arizona,SiouxFalls,0
Arizona,StLouis,0
Arizona,WashingtonDC,0
Arizona,Worcester,0
Arizona,Other cities,0
California,Albuquerque,0
California,Atlanta,0
California,AuroraCO,0
California,Baltimore,0
California,Boston,0
California,Buffalo,0
California,CapeCoral,0
California,Columbus,0
California,Denver,0
California,DesMoines,0
California,Detroit,0
California,Durham,0
California,GrandRapids,0
California,Greensboro,0
California,Honolulu,0
California,Houston,0
California,Indianapolis,0
California,Jerseycity,0
California,Knoxville,0
California,LasVegas,0
California,LosAngeles,582913
California,Louisville,0
California,Madison,0
California,Milwaukee,0
California,Minneapolis,0
California,Nashville,0
California,NewOrleans,0
California,NewYork,0
California,OklahomaCity,0
California,Orlando,0
California,OverlandPark,0
California,Phoenix,0
California,Pittsburgh,0
California,Plano,0
California,Portland,0
California,Providence,0
California,Richmond,0
California,SanJose,264805
California,Seattle,0
California,SiouxFalls,0
California,StLouis,0
California,WashingtonDC,0
California,Worcester,0
California,Other cities,963876
Colorado,Albuquerque,0
Colorado,Atlanta,0
Colorado,AuroraCO,57360
Colorado,Baltimore,0
Colorado,Boston,0
Colorado,Buffalo,0
Colorado,CapeCoral,0
Colorado,Columbus,0
Colorado,Denver,284354
Colorado,DesMoines,0
Colorado,Detroit,0
Colorado,Durham,0
Colorado,GrandRapids,0
Colorado,Greensboro,0
Colorado,Honolulu,0
Colorado,Houston,0
Colorado,Indianapolis,0
Colorado,Jerseycity,0
Colorado,Knoxville,0
Colorado,LasVegas,0
Colorado,LosAngeles,0
Colorado,Louisville,0
Colorado,Madison,0
Colorado,Milwaukee,0
Colorado,Minneapolis,0
Colorado,Nashville,0
Colorado,NewOrleans,0
Colorado,NewYork,0
Colorado,OklahomaCity,0
Colorado,Orlando,0
Colorado,OverlandPark,0
Colorado,Phoenix,0
Colorado,Pittsburgh,0
Colorado,Plano,0
Colorado,Portland,0
Colorado,Providence,0
Colorado,Richmond,0
Colorado,SanJose,0
Colorado,Seattle,0
Colorado,SiouxFalls,0
Colorado,StLouis,0
Colorado,WashingtonDC,0
Colorado,Worcester,0
Colorado,Other cities,16051
District of Columbia,Albuquerque,0
District of Columbia,Atlanta,0
District of Columbia,AuroraCO,0
District of Columbia,Baltimore,0
District of Columbia,Boston,0
District of Columbia,Buffalo,0
District of Columbia,CapeCoral,0
District of Columbia,Columbus,0
District of Columbia,Denver,0
District of Columbia,DesMoines,0
District of Columbia,Detroit,0
District of Columbia,Durham,0
District of Columbia,GrandRapids,0
District of Columbia,Greensboro,0
District of Columbia,Honolulu,0
District of Columbia,Houston,0
District of Columbia,Indianapolis,0
District of Columbia,Jerseycity,0
District of Columbia,Knoxville,0
District of Columbia,LasVegas,0
District of Columbia,LosAngeles,0
District of Columbia,Louisville,0
District of Columbia,Madison,0
District of Columbia,Milwaukee,0
District of Columbia,Minneapolis,0
District of Columbia,Nashville,0
District of Columbia,NewOrleans,0
District of Columbia,NewYork,0
District of Columbia,OklahomaCity,0
District of Columbia,Orlando,0
District of Columbia,OverlandPark,0
District of Columbia,Phoenix,0
District of Columbia,Pittsburgh,0
District of Columbia,Plano,0
District of Columbia,Portland,0
District of Columbia,Providence,0
District of Columbia,Richmond,0
District of Columbia,SanJose,0
District of Columbia,Seattle,0
District of Columbia,SiouxFalls,0
District of Columbia,StLouis,0
District of Columbia,WashingtonDC,175847
District of Columbia,Worcester,0
District of Columbia,Other cities,0
Florida,Albuquerque,0
Florida,Atlanta,0
Florida,AuroraCO,0
Florida,Baltimore,0
Florida,Boston,0
Florida,Buffalo,0
Florida,CapeCoral,34021
Florida,Columbus,0
Florida,Denver,0
Florida,DesMoines,0
Florida,Detroit,0
Florida,Durham,0
Florida,GrandRapids,0
Florida,Greensboro,0
Florida,Honolulu,0
Florida,Houston,0
Florida,Indianapolis,0
Florida,Jerseycity,0
Florida,Knoxville,0
Florida,LasVegas,0
Florida,LosAngeles,0
Florida,Louisville,0
Florida,Madison,0
Florida,Milwaukee,0
Florida,Minneapolis,0
Florida,Nashville,0
Florida,NewOrleans,0
Florida,NewYork,0
Florida,OklahomaCity,0
Florida,Orlando,68211
Florida,OverlandPark,0
Florida,Phoenix,0
Florida,Pittsburgh,0
Florida,Plano,0
Florida,Portland,0
Florida,Providence,0
Florida,Richmond,0
Florida,SanJose,0
Florida,Seattle,0
Florida,SiouxFalls,0
Florida,StLouis,0
Florida,WashingtonDC,0
Florida,Worcester,0
Florida,Other cities,25800
Georgia,Albuquerque,0
Georgia,Atlanta,41176
Georgia,AuroraCO,0
Georgia,Baltimore,0
Georgia,Boston,0
Georgia,Buffalo,0
Georgia,CapeCoral,0
Georgia,Columbus,0
Georgia,Denver,0
Georgia,DesMoines,0
Georgia,Detroit,0
Georgia,Durham,0
Georgia,GrandRapids,0
Georgia,Greensboro,0
Georgia,Honolulu,0
Georgia,Houston,0
Georgia,Indianapolis,0
Georgia,Jerseycity,0
Georgia,Knoxville,0
Georgia,LasVegas,0
Georgia,LosAngeles,0
Georgia,Louisville,0
Georgia,Madison,0
Georgia,Milwaukee,0
Georgia,Minneapolis,0
Georgia,Nashville,0
Georgia,NewOrleans,0
Georgia,NewYork,0
Georgia,OklahomaCity,0
Georgia,Orlando,0
Georgia,OverlandPark,0
Georgia,Phoenix,0
Georgia,Pittsburgh,0
Georgia,Plano,0
Georgia,Portland,0
Georgia,Providence,0
Georgia,Richmond,0
Georgia,SanJose,0
Georgia,Seattle,0
Georgia,SiouxFalls,0
Georgia,StLouis,0
Georgia,WashingtonDC,0
Georgia,Worcester,0
Georgia,Other cities,0
Hawaii,Albuquerque,0
Hawaii,Atlanta,0
Hawaii,AuroraCO,0
Hawaii,Baltimore,0
Hawaii,Boston,0
Hawaii,Buffalo,0
Hawaii,CapeCoral,0
Hawaii,Columbus,0
Hawaii,Denver,0
Hawaii,DesMoines,0
Hawaii,Detroit,0
Hawaii,Durham,0
Hawaii,GrandRapids,0
Hawaii,Greensboro,0
Hawaii,Honolulu,15170
Hawaii,Houston,0
Hawaii,Indianapolis,0
Hawaii,Jerseycity,0
Hawaii,Knoxville,0
Hawaii,LasVegas,0
Hawaii,LosAngeles,0
Hawaii,Louisville,0
Hawaii,Madison,0
Hawaii,Milwaukee,0
Hawaii,Minneapolis,0
Hawaii,Nashville,0
Hawaii,NewOrleans,0
Hawaii,NewYork,0
Hawaii,OklahomaCity,0
Hawaii,Orlando,0
Hawaii,OverlandPark,0
Hawaii,Phoenix,0
Hawaii,Pittsburgh,0
Hawaii,Plano,0
Hawaii,Portland,0
Hawaii,Providence,0
Hawaii,Richmond,0
Hawaii,SanJose,0
Hawaii,Seattle,0
Hawaii,SiouxFalls,0
Hawaii,StLouis,0
Hawaii,WashingtonDC,0
Hawaii,Worcester,0
Hawaii,Other cities,0
Indiana,Albuquerque,0
Indiana,Atlanta,0
Indiana,AuroraCO,0
Indiana,Baltimore,0
Indiana,Boston,0
Indiana,Buffalo,0
Indiana,CapeCoral,0
Indiana,Columbus,0
Indiana,Denver,0
Indiana,DesMoines,0
Indiana,Detroit,0
Indiana,Durham,0
Indiana,GrandRapids,0
Indiana,Greensboro,0
Indiana,Honolulu,0
Indiana,Houston,0
Indiana,Indianapolis,97227
Indiana,Jerseycity,0
Indiana,Knoxville,0
Indiana,LasVegas,0
Indiana,LosAngeles,0
Indiana,Louisville,0
Indiana,Madison,0
Indiana,Milwaukee,0
Indiana,Minneapolis,0
Indiana,Nashville,0
Indiana,NewOrleans,0
Indiana,NewYork,0
Indiana,OklahomaCity,0
Indiana,Orlando,0
Indiana,OverlandPark,0
Indiana,Phoenix,0
Indiana,Pittsburgh,0
Indiana,Plano,0
Indiana,Portland,0
Indiana,Providence,0
Indiana,Richmond,0
Indiana,SanJose,0
Indiana,Seattle,0
Indiana,SiouxFalls,0
Indiana,StLouis,0
Indiana,WashingtonDC,0
Indiana,Worcester,0
Indiana,Other cities,0
Iowa,Albuquerque,0
Iowa,Atlanta,0
Iowa,AuroraCO,0
Iowa,Baltimore,0
Iowa,Boston,0
Iowa,Buffalo,0
Iowa,CapeCoral,0
Iowa,Columbus,0
Iowa,Denver,0
Iowa,DesMoines,15805
Iowa,Detroit,0
Iowa,Durham,0
Iowa,GrandRapids,0
Iowa,Greensboro,0
Iowa,Honolulu,0
Iowa,Houston,0
Iowa,Indianapolis,0
Iowa,Jerseycity,0
Iowa,Knoxville,0
Iowa,LasVegas,0
Iowa,LosAngeles,0
Iowa,Louisville,0
Iowa,Madison,0
Iowa,Milwaukee,0
Iowa,Minneapolis,0
Iowa,Nashville,0
Iowa,NewOrleans,0
Iowa,NewYork,0
Iowa,OklahomaCity,0
Iowa,Orlando,0
Iowa,OverlandPark,0
Iowa,Phoenix,0
Iowa,Pittsburgh,0
Iowa,Plano,0
Iowa,Portland,0
Iowa,Providence,0
Iowa,Richmond,0
Iowa,SanJose,0
Iowa,Seattle,0
Iowa,SiouxFalls,0
Iowa,StLouis,0
Iowa,WashingtonDC,0
Iowa,Worcester,0
Iowa,Other cities,0
Kansas,Albuquerque,0
Kansas,Atlanta,0
Kansas,AuroraCO,0
Kansas,Baltimore,0
Kansas,Boston,0
Kansas,Buffalo,0
Kansas,CapeCoral,0
Kansas,Columbus,0
Kansas,Denver,0
Kansas,DesMoines,0
Kansas,Detroit,0
Kansas,Durham,0
Kansas,GrandRapids,0
Kansas,Greensboro,0
Kansas,Honolulu,0
Kansas,Houston,0
Kansas,Indianapolis,0
Kansas,Jerseycity,0
Kansas,Knoxville,0
Kansas,LasVegas,0
Kansas,LosAngeles,0
Kansas,Louisville,0
Kansas,Madison,0
Kansas,Milwaukee,0
Kansas,Minneapolis,0
Kansas,Nashville,0
Kansas,NewOrleans,0
Kansas,NewYork,0
Kansas,OklahomaCity,0
Kansas,Orlando,0
Kansas,OverlandPark,44767
Kansas,Phoenix,0
Kansas,Pittsburgh,0
Kansas,Plano,0
Kansas,Portland,0
Kansas,Providence,0
Kansas,Richmond,0
Kansas,SanJose,0
Kansas,Seattle,0
Kansas,SiouxFalls,0
Kansas,StLouis,0
Kansas,WashingtonDC,0
Kansas,Worcester,0
Kansas,Other cities,0
Kentucky,Albuquerque,0
Kentucky,Atlanta,0
Kentucky,AuroraCO,0
Kentucky,Baltimore,0
Kentucky,Boston,0
Kentucky,Buffalo,0
Kentucky,CapeCoral,0
Kentucky,Columbus,0
Kentucky,Denver,0
Kentucky,DesMoines,0
Kentucky,Detroit,0
Kentucky,Durham,0
Kentucky,GrandRapids,0
Kentucky,Greensboro,0
Kentucky,Honolulu,0
Kentucky,Houston,0
Kentucky,Indianapolis,0
Kentucky,Jerseycity,0
Kentucky,Knoxville,0
Kentucky,LasVegas,0
Kentucky,LosAngeles,0
Kentucky,Louisville,32711
Kentucky,Madison,0
Kentucky,Milwaukee,0
Kentucky,Minneapolis,0
Kentucky,Nashville,0
Kentucky,NewOrleans,0
Kentucky,NewYork,0
Kentucky,OklahomaCity,0
Kentucky,Orlando,0
Kentucky,OverlandPark,0
Kentucky,Phoenix,0
Kentucky,Pittsburgh,0
Kentucky,Plano,0
Kentucky,Portland,0
Kentucky,Providence,0
Kentucky,Richmond,0
Kentucky,SanJose,0
Kentucky,Seattle,0
Kentucky,SiouxFalls,0
Kentucky,StLouis,0
Kentucky,WashingtonDC,0
Kentucky,Worcester,0
Kentucky,Other cities,0
Louisiana,Albuquerque,0
Louisiana,Atlanta,0
Louisiana,AuroraCO,0
Louisiana,Baltimore,0
Louisiana,Boston,0
Louisiana,Buffalo,0
