source,target,value
California,NewYork,0
California,LosAngeles,582913
California,Denver,0
California,SanJose,264805
California,Portland,0
California,Houston,0
California,SanDiego,212304
California,Minneapolis,0
California,WashingtonDC,0
California,SanFrancisco,175272
California,Seattle,0
California,Columbus,0
California,Baltimore,0
California,NewOrleans,0
California,Stockton,97707
New York,NewYork,652169
New York,LosAngeles,0
New York,Denver,0
New York,SanJose,0
New York,Portland,0
New York,Houston,0
New York,SanDiego,0
New York,Minneapolis,0
New York,WashingtonDC,0
New York,SanFrancisco,0
New York,Seattle,0
New York,Columbus,0
New York,Baltimore,0
New York,NewOrleans,0
New York,Stockton,0
Colorado,NewYork,0
Colorado,LosAngeles,0
Colorado,Denver,284354
Colorado,SanJose,0
Colorado,Portland,0
Colorado,Houston,0
Colorado,SanDiego,0
Colorado,Minneapolis,0
Colorado,WashingtonDC,0
Colorado,SanFrancisco,0
Colorado,Seattle,0
Colorado,Columbus,0
Colorado,Baltimore,0
Colorado,NewOrleans,0
Colorado,Stockton,0
Texas,NewYork,0
Texas,LosAngeles,0
Texas,Denver,0
Texas,SanJose,0
Texas,Portland,0
Texas,Houston,213387
Texas,SanDiego,0
Texas,Minneapolis,0
Texas,WashingtonDC,0
Texas,SanFrancisco,0
Texas,Seattle,0
Texas,Columbus,0
Texas,Baltimore,0
Texas,NewOrleans,0
Texas,Stockton,0
Oregon,NewYork,0
Oregon,LosAngeles,0
Oregon,Denver,0
Oregon,SanJose,0
Oregon,Portland,216751
Oregon,Houston,0
Oregon,SanDiego,0
Oregon,Minneapolis,0
Oregon,WashingtonDC,0
Oregon,SanFrancisco,0
Oregon,Seattle,0
Oregon,Columbus,0
Oregon,Baltimore,0
Oregon,NewOrleans,0
Oregon,Stockton,0
Minnesota,NewYork,0
Minnesota,LosAngeles,0
Minnesota,Denver,0
Minnesota,SanJose,0
Minnesota,Portland,0
Minnesota,Houston,0
Minnesota,SanDiego,0
Minnesota,Minneapolis,176834
Minnesota,WashingtonDC,0
Minnesota,SanFrancisco,0
Minnesota,Seattle,0
Minnesota,Columbus,0
Minnesota,Baltimore,0
Minnesota,NewOrleans,0
Minnesota,Stockton,0
District of Columbia,NewYork,0
District of Columbia,LosAngeles,0
District of Columbia,Denver,0
District of Columbia,SanJose,0
District of Columbia,Portland,0
District of Columbia,Houston,0
District of Columbia,SanDiego,0
District of Columbia,Minneapolis,0
District of Columbia,WashingtonDC,175847
District of Columbia,SanFrancisco,0
District of Columbia,Seattle,0
District of Columbia,Columbus,0
District of Columbia,Baltimore,0
District of Columbia,NewOrleans,0
District of Columbia,Stockton,0
Washington,NewYork,0
Washington,LosAngeles,0
Washington,Denver,0
Washington,SanJose,0
Washington,Portland,0
Washington,Houston,0
Washington,SanDiego,0
Washington,Minneapolis,0
Washington,WashingtonDC,0
Washington,SanFrancisco,0
Washington,Seattle,164919
Washington,Columbus,0
Washington,Baltimore,0
Washington,NewOrleans,0
Washington,Stockton,0
Ohio,NewYork,0
