state,abundance,fips
California,1806085,US06
New York,787349,US36
Colorado,354878,US08
Texas,264285,US48
Oregon,216751,US41
Minnesota,176834,US27
District of Columbia,175847,US11
Washington,164903,US53
Ohio,140876,US39
Wisconsin,127623,US55
Florida,124208,US12
Maryland,121279,US24
Louisiana,105786,US22
Indiana,97227,US18
Michigan,92023,US26
Missouri,83533,US29
South Dakota,61304,US46
Kansas,44767,US20
Pennsylvania,42079,US42
Georgia,41175,US13
Kentucky,32711,US21
Nevada,32006,US32
Rhode Island,24082,US44
North Carolina,22586,US37
Massachusetts,16735,
Iowa,15805,US19
Hawaii,15150,US15
Tennessee,10411,US47
Oklahoma,8871,US40
New Mexico,2485,US35
Virginia,1815,US51
New Jersey,774,US34
Arizona,214,US04
