scientific_name,count,common_name,avg_height
Magnolia grandiflora,5266,Southern magnolia,79.13
Washingtonia robusta,4379,Mexican fan palm,145.3
Lagerstroemia indica,3771,Crape myrtle,48.6
Cinnamomum camphora,2567,Camphor tree,98.27
Pinus canariensis,2317,Canary island pine,142.93
Koelreuteria bipinnata,2227,Chinese flame tree,89.44
Syagrus romanzoffianum,1706,Queen palm,56.4
Jacaranda mimosifolia,1676,Jacaranda,65.79
Lophostemon confertus,1609,Brisbane box,66.0
Liquidambar styraciflua,1491,American sweetgum,120.45
