scientific_name,count,common_name,avg_height
Lagerstroemia indica,2358,Crape myrtle,48.6
Lophostemon confertus,1643,Brisbane box,66.0
Cupaniopsis anacardioides,1438,Carrotwood,67.81
Pinus canariensis,1049,Canary island pine,142.93
Syagrus romanzoffianum,897,Queen palm,56.4
Pyrus kawakamii,710,Evergreen pear,70.94
Magnolia grandiflora,696,Southern magnolia,79.13
Jacaranda acutifolia,668,Jacaranda,132.41
Washingtonia robusta,596,Mexican fan palm,145.3
Platanus acerifolia,593,London planetree,121.26
