scientific_name,count,common_name,avg_height
Syagrus romanzoffianum,4681,Queen palm,56.4
Washingtonia robusta,4037,Mexican fan palm,145.3
Lagerstroemia indica,3896,Crape myrtle,48.6
Eucalyptus camaldulensis,2574,Red gum,19.06
Archontophoenix cunninghamiana,1665,King palm,21.03
Cercis canadensis,1502,Eastern redbud,30.24
Lophostemon confertus,1453,Brisbane box,66.0
Cupaniopsis anacardioides,1431,Carrotwood,67.81
Pinus canariensis,1352,Canary island pine,142.93
Pyrus calleryana,1233,Callery pear,81.55
