scientific_name,count,common_name,avg_height
Washingtonia robusta,37971,Mexican fan palm,145.3
Lagerstroemia indica,34729,Crape myrtle,48.6
Magnolia grandiflora,30988,Southern magnolia,79.13
Liquidambar styraciflua,30061,American sweetgum,120.45
Ficus microcarpa,28681,Indian laurel fig,92.18
Platanus acerifolia,17477,London planetree,121.26
Cinnamomum camphora,15850,Camphor tree,98.27
Cupressus sempervirens,14078,Italian cypress,87.51
Ulmus parvifolia,13920,Chinese elm,100.72
Jacaranda acutifolia,13760,Jacaranda,132.41
