scientific_name,count,common_name,avg_height
Lagerstroemia indica,30244,Crape myrtle,48.6
Quercus virginiana,21775,Live oak,92.69
Taxodium distichum,5409,Bald cypress,76.78
Ilex attenuata,4186,Hybrid holly species,52.28
Magnolia grandiflora,3471,Southern magnolia,79.13
Pinus elliottii,3098,Slash pine,130.64
Pyrus calleryana,2043,Callery pear,81.55
Sabal palmetto,1979,Cabbage palm,77.85
Ulmus parvifolia,1877,Chinese elm,100.72
Magnolia virginiana,1795,Florida sweet bay magnolia bay,31.09
