scientific_name,count,common_name,avg_height
Lagerstroemia indica,4630,Crape myrtle,48.6
Liquidambar styraciflua,4392,American sweetgum,120.45
Cinnamomum camphora,3900,Camphor tree,98.27
Platanus acerifolia,3328,London planetree,121.26
Pinus canariensis,3307,Canary island pine,142.93
Pyrus calleryana,2793,Callery pear,81.55
Syagrus romanzoffiana,2109,Queen palm,73.8
Washingtonia robusta,1584,Mexican fan palm,145.3
Pistacia chinensis,1343,Chinese pistache,77.06
Schinus molle,1224,California pepper,70.39
