scientific_name,count,common_name,avg_height
Lagerstroemia indica,12889,Crape myrtle,48.6
Platanus acerifolia,5698,London planetree,121.26
Eucalyptus globulus,5549,Eucalyptus,133.42
Magnolia grandiflora,5016,Southern magnolia,79.13
Pyrus calleryana,4941,Callery pear,81.55
Liquidambar styraciflua,3727,American sweetgum,120.45
Pinus,3702,Pine,89.32
Brachychiton populneus,3658,Bottle tree,41.35
Pistacia chinensis,3213,Chinese pistache,77.06
Pinus canariensis,2355,Canary island pine,142.93
