scientific_name,count,common_name,avg_height
Platanus acerifolia,14111,London planetree,121.26
Pistacia chinensis,4580,Chinese pistache,77.06
Pyrus calleryana,4285,Callery pear,81.55
Lagerstroemia indica,4146,Crape myrtle,48.6
Ulmus parvifolia,4047,Chinese elm,100.72
Zelkova serrata,3861,Japanese zelkova,103.08
Quercus lobata,3693,California white oak,90.34
Sequoia sempervirens,2909,Coast redwood,165.74
Fraxinus velutina,2842,Modesto ash,124.32
Liquidambar styraciflua,1933,American sweetgum,120.45
