scientific_name,count,common_name,avg_height
Platanus acerifolia,11925,London planetree,121.26
Metrosideros excelsa,8681,New zealand xmas tree,14.71
Tristaniopsis laurina,8509,Swamp myrtle,35.79
Lophostemon confertus,8236,Brisbane box,66.0
Magnolia grandiflora,7793,Southern magnolia,79.13
Prunus cerasifera,7113,Leaf plum purple,57.31
Pittosporum undulatum,6922,Victorian box,45.15
Prunus serrulata,6756,Kwanzan flowering cherry,42.79
Ficus microcarpa,6650,Indian laurel fig,92.18
Arbutus,5568,Hybrid strawberry tree,39.49
