scientific_name,count,common_name,avg_height
Platanus acerifolia,26291,London planetree,121.26
Pistacia chinensis,24316,Chinese pistache,77.06
Lagerstroemia indica,21636,Crape myrtle,48.6
Liquidambar styraciflua,14644,American sweetgum,120.45
Pyrus calleryana,9631,Callery pear,81.55
Zelkova serrata,7669,Japanese zelkova,103.08
Cupressus sempervirens,7208,Italian cypress,87.51
Magnolia grandiflora,7080,Southern magnolia,79.13
Prunus cerasifera,6999,Leaf plum purple,57.31
Fraxinus angustifolia,5626,Narrow leaf ash,111.65
