scientific_name,count,common_name,avg_height
Pistacia chinensis,11392,Chinese pistache,77.06
Platanus acerifolia,7552,London planetree,121.26
Lagerstroemia indica,7354,Crape myrtle,48.6
Celtis sinensis,7179,Chinese hackberry,85.33
Pyrus calleryana,5296,Callery pear,81.55
Fraxinus velutina,4879,Modesto ash,124.32
Liquidambar styraciflua,4110,American sweetgum,120.45
Magnolia grandiflora,3762,Southern magnolia,79.13
Zelkova serrata,3379,Japanese zelkova,103.08
Sequoia sempervirens,2936,Coast redwood,165.74
