city,Lagerstroemia indica,Platanus acerifolia,Liquidambar styraciflua,Washingtonia robusta,Magnolia grandiflora
Anaheim,3771,1264,1491,4379,5266
Fresno,184,294,6,0,0
Garden Grove,2358,593,365,596,696
Huntington Beach,3896,574,170,4037,372
Irvine,1390,1195,1773,542,530
Los Angeles,34729,17477,30061,37971,30988
Oakland,1953,3788,3312,274,1375
Ontario,4630,3328,4392,1584,1214
Rancho Cucamonga,12889,5698,3727,2249,5016
Sacramento,4146,14111,1933,1535,1151
San Diego,2207,1907,10323,15129,3463
San Francisco,102,11925,1592,967,7793
San Jose,21636,26291,14644,5116,7080
Santa Rosa,0,87,1,0,0
Stockton,7354,7552,4110,780,3762
