scientific_name,count,common_name,avg_height
Platanus acerifolia,217762,London planetree,121.26
Lagerstroemia indica,207061,Crape myrtle,48.6
Acer platanoides,198951,Norway maple,98.24
Gleditsia triacanthos,167242,Honeylocust,89.98
Pyrus calleryana,159981,Callery pear,81.55
Fraxinus pennsylvanica,156922,Green ash,139.65
Acer rubrum,140917,Red maple,85.73
Liquidambar styraciflua,111483,American sweetgum,120.45
Tilia cordata,106723,Littleleaf linden,105.47
Quercus virginiana,104183,Live oak,92.69
